disease,ID
Sleep Initiation and Maintenance Disorders,C10.886.425.800.800
"Insomnia, Fatal Familial",C10.886.425.800.800.400
Parasomnias,C10.886.659
Nocturnal Myoclonus Syndrome,C10.886.659.618
Nocturnal Paroxysmal Dystonia,C10.886.659.627
REM Sleep Parasomnias,C10.886.659.633
REM Sleep Behavior Disorder,C10.886.659.633.700
Sleep Paralysis,C10.886.659.633.800
Restless Legs Syndrome,C10.886.659.634
Sleep Arousal Disorders,C10.886.659.635
Night Terrors,C10.886.659.635.600
Somnambulism,C10.886.659.635.700
Sleep Bruxism,C10.886.659.637
Sleep-Wake Transition Disorders,C10.886.659.700
"Trauma, Nervous System",C10.900
Cerebrovascular Trauma,C10.900.250
Carotid Artery Injuries,C10.900.250.300
"Carotid Artery, Internal, Dissection",C10.900.250.300.300
Carotid-Cavernous Sinus Fistula,C10.900.250.300.400
Vertebral Artery Dissection,C10.900.250.650
Craniocerebral Trauma,C10.900.300
Brain Injuries,C10.900.300.087
"Brain Hemorrhage, Traumatic",C10.900.300.087.187
"Brain Stem Hemorrhage, Traumatic",C10.900.300.087.187.200
"Cerebral Hemorrhage, Traumatic",C10.900.300.087.187.300
"Brain Injuries, Diffuse",C10.900.300.087.219
Diffuse Axonal Injury,C10.900.300.087.219.500
"Brain Injuries, Traumatic",C10.900.300.087.235
Brain Concussion,C10.900.300.087.235.250
Brain Contusion,C10.900.300.087.235.375
Chronic Traumatic Encephalopathy,C10.900.300.087.235.500
"Brain Injury, Chronic",C10.900.300.087.250
Chronic Traumatic Encephalopathy,C10.900.300.087.250.500
"Epilepsy, Post-Traumatic",C10.900.300.087.600
Pneumocephalus,C10.900.300.087.700
Shaken Baby Syndrome,C10.900.300.087.850
Cerebrospinal Fluid Leak,C10.900.300.109
Cerebrospinal Fluid Otorrhea,C10.900.300.109.500
Cerebrospinal Fluid Rhinorrhea,C10.900.300.109.750
"Coma, Post-Head Injury",C10.900.300.175
Cranial Nerve Injuries,C10.900.300.218
Abducens Nerve Injury,C10.900.300.218.150
Accessory Nerve Injuries,C10.900.300.218.225
Facial Nerve Injuries,C10.900.300.218.300
Glossopharyngeal Nerve Injuries,C10.900.300.218.331
Hypoglossal Nerve Injuries,C10.900.300.218.362
Oculomotor Nerve Injuries,C10.900.300.218.456
Olfactory Nerve Injuries,C10.900.300.218.487
Optic Nerve Injuries,C10.900.300.218.550
Trigeminal Nerve Injuries,C10.900.300.218.775
Lingual Nerve Injuries,C10.900.300.218.775.500
Trochlear Nerve Injuries,C10.900.300.218.831
Vagus Nerve Injuries,C10.900.300.218.887
Laryngeal Nerve Injuries,C10.900.300.218.887.750
Recurrent Laryngeal Nerve Injuries,C10.900.300.218.887.750.500
Vestibulocochlear Nerve Injuries,C10.900.300.218.943
Facial Injuries,C10.900.300.284
Eye Injuries,C10.900.300.284.250
Corneal Injuries,C10.900.300.284.250.124
Corneal Perforation,C10.900.300.284.250.124.500
Eye Burns,C10.900.300.284.250.250
Eye Foreign Bodies,C10.900.300.284.250.260
"Eye Injuries, Penetrating",C10.900.300.284.250.270
Maxillofacial Injuries,C10.900.300.284.500
Jaw Fractures,C10.900.300.284.500.400
Mandibular Fractures,C10.900.300.284.500.400.255
Maxillary Fractures,C10.900.300.284.500.400.510
Mandibular Injuries,C10.900.300.284.500.500
Orbital Fractures,C10.900.300.284.500.550
Zygomatic Fractures,C10.900.300.284.500.950
"Head Injuries, Closed",C10.900.300.350
Brain Concussion,C10.900.300.350.300
Contrecoup Injury,C10.900.300.350.300.250
Post-Concussion Syndrome,C10.900.300.350.300.500
"Head Injuries, Penetrating",C10.900.300.675
"Intracranial Hemorrhage, Traumatic",C10.900.300.837
"Brain Hemorrhage, Traumatic",C10.900.300.837.150
"Brain Stem Hemorrhage, Traumatic",C10.900.300.837.150.300
"Cerebral Hemorrhage, Traumatic",C10.900.300.837.150.650
"Hematoma, Epidural, Cranial",C10.900.300.837.300
"Hematoma, Subdural",C10.900.300.837.600
"Hematoma, Subdural, Acute",C10.900.300.837.600.050
"Hematoma, Subdural, Chronic",C10.900.300.837.600.120
"Hematoma, Subdural, Intracranial",C10.900.300.837.600.400
"Subarachnoid Hemorrhage, Traumatic",C10.900.300.837.800
Skull Fractures,C10.900.300.918
"Skull Fracture, Basilar",C10.900.300.918.150
"Skull Fracture, Depressed",C10.900.300.918.300
Peripheral Nerve Injuries,C10.900.575
Spinal Cord Injuries,C10.900.850
Autonomic Dysreflexia,C10.900.850.250
Central Cord Syndrome,C10.900.850.625
Eye Diseases,C11
Asthenopia,C11.093
Cogan Syndrome,C11.180
Conjunctival Diseases,C11.187
Conjunctival Neoplasms,C11.187.169
Conjunctivitis,C11.187.183
"Conjunctivitis, Allergic",C11.187.183.200
"Conjunctivitis, Bacterial",C11.187.183.220
"Conjunctivitis, Inclusion",C11.187.183.220.250
Ophthalmia Neonatorum,C11.187.183.220.538
Trachoma,C11.187.183.220.889
"Conjunctivitis, Viral",C11.187.183.240
"Conjunctivitis, Acute Hemorrhagic",C11.187.183.240.216
Keratoconjunctivitis,C11.187.183.394
Keratoconjunctivitis Sicca,C11.187.183.394.500
"Keratoconjunctivitis, Infectious",C11.187.183.394.520
"Pemphigoid, Benign Mucous Membrane",C11.187.482
Pinguecula,C11.187.631
Pterygium,C11.187.781
Xerophthalmia,C11.187.810
Corneal Diseases,C11.204
"Corneal Dystrophies, Hereditary",C11.204.236
"Corneal Dystrophy, Juvenile Epithelial of Meesmann",C11.204.236.218
Fuchs' Endothelial Dystrophy,C11.204.236.438
Corneal Edema,C11.204.267
Corneal Endothelial Cell Loss,C11.204.278
Corneal Injuries,C11.204.284
Corneal Perforation,C11.204.284.500
Corneal Neovascularization,C11.204.290
Corneal Opacity,C11.204.299
Arcus Senilis,C11.204.299.070
Corneal Wavefront Aberration,C11.204.431
Iridocorneal Endothelial Syndrome,C11.204.497
Keratitis,C11.204.564
Acanthamoeba Keratitis,C11.204.564.112
Corneal Ulcer,C11.204.564.225
"Keratitis, Herpetic",C11.204.564.425
"Keratitis, Dendritic",C11.204.564.425.450
Keratoconjunctivitis,C11.204.564.585
"Keratoconjunctivitis, Infectious",C11.204.564.585.500
Keratoconjunctivitis Sicca,C11.204.564.585.630
Keratoconus,C11.204.627
Trachoma,C11.204.813
Eye Abnormalities,C11.250
Aniridia,C11.250.060
WAGR Syndrome,C11.250.060.950
Anophthalmos,C11.250.080
Blepharophimosis,C11.250.090
Coloboma,C11.250.110
Ectopia Lentis,C11.250.300
Fraser Syndrome,C11.250.390
Hydrophthalmos,C11.250.480
Microphthalmos,C11.250.566
Persistent Hyperplastic Primary Vitreous,C11.250.616
Retinal Dysplasia,C11.250.666
"Eye Diseases, Hereditary",C11.270
Aicardi Syndrome,C11.270.019
Albinism,C11.270.040
"Albinism, Ocular",C11.270.040.090
"Albinism, Oculocutaneous",C11.270.040.545
Hermanski-Pudlak Syndrome,C11.270.040.545.400
Chediak-Higashi Syndrome,C11.270.040.772
Aleutian Mink Disease,C11.270.040.772.270
Aniridia,C11.270.060
WAGR Syndrome,C11.270.060.950
Choroideremia,C11.270.142
Coloboma,C11.270.147
CHARGE Syndrome,C11.270.147.500
Mandibulofacial Dysostosis,C11.270.147.750
Cone Dystrophy,C11.270.151
Color Vision Defects,C11.270.151.500
Cone-Rod Dystrophies,C11.270.152
"Corneal Dystrophies, Hereditary",C11.270.162
"Corneal Dystrophy, Juvenile Epithelial of Meesmann",C11.270.162.218
Fuchs' Endothelial Dystrophy,C11.270.162.438
Duane Retraction Syndrome,C11.270.235
Graves Ophthalmopathy,C11.270.240
Gyrate Atrophy,C11.270.468
Leber Congenital Amaurosis,C11.270.516
"Optic Atrophies, Hereditary",C11.270.564
"Optic Atrophy, Autosomal Dominant",C11.270.564.100
"Optic Atrophy, Hereditary, Leber",C11.270.564.400
Wolfram Syndrome,C11.270.564.980
Retinal Degeneration,C11.270.612
Retinal Dysplasia,C11.270.660
Retinitis Pigmentosa,C11.270.684
Alstrom Syndrome,C11.270.684.249
Bardet-Biedl Syndrome,C11.270.684.624
Retinoblastoma,C11.270.862
Walker-Warburg Syndrome,C11.270.881
Weill-Marchesani Syndrome,C11.270.921
Eye Hemorrhage,C11.290
Choroid Hemorrhage,C11.290.195
Hyphema,C11.290.484
Retinal Hemorrhage,C11.290.807
Vitreous Hemorrhage,C11.290.960
Eye Infections,C11.294
Corneal Ulcer,C11.294.177
Endophthalmitis,C11.294.265
"Uveitis, Suppurative",C11.294.265.500
"Eye Infections, Bacterial",C11.294.354
"Conjunctivitis, Bacterial",C11.294.354.220
"Conjunctivitis, Inclusion",C11.294.354.220.250
Ophthalmia Neonatorum,C11.294.354.220.625
Trachoma,C11.294.354.220.800
Hordeolum,C11.294.354.400
"Keratoconjunctivitis, Infectious",C11.294.354.450
"Tuberculosis, Ocular",C11.294.354.800
"Uveitis, Suppurative",C11.294.354.900
Panophthalmitis,C11.294.354.900.675
"Eye Infections, Fungal",C11.294.450
"Uveitis, Suppurative",C11.294.450.900
Panophthalmitis,C11.294.450.900.675
"Eye Infections, Parasitic",C11.294.725
Acanthamoeba Keratitis,C11.294.725.125
"Onchocerciasis, Ocular",C11.294.725.562
"Toxoplasmosis, Ocular",C11.294.725.781
"Eye Infections, Viral",C11.294.800
"Conjunctivitis, Viral",C11.294.800.250
"Conjunctivitis, Acute Hemorrhagic",C11.294.800.250.250
Cytomegalovirus Retinitis,C11.294.800.270
Herpes Zoster Ophthalmicus,C11.294.800.450
"Keratitis, Herpetic",C11.294.800.475
"Keratitis, Dendritic",C11.294.800.475.450
Eye Injuries,C11.297
"Anterior Capsular Rupture, Ocular",C11.297.249
Corneal Injuries,C11.297.374
Corneal Perforation,C11.297.374.500
"Posterior Capsular Rupture, Ocular",C11.297.500
Eye Manifestations,C11.300
Eye Pain,C11.300.500
Eye Neoplasms,C11.319
Conjunctival Neoplasms,C11.319.217
Eyelid Neoplasms,C11.319.421
Orbital Neoplasms,C11.319.457
"Paraneoplastic Syndromes, Ocular",C11.319.466
Retinal Neoplasms,C11.319.475
Retinoblastoma,C11.319.475.760
Uveal Neoplasms,C11.319.494
Choroid Neoplasms,C11.319.494.198
Iris Neoplasms,C11.319.494.400
Eyelid Diseases,C11.338
Blepharitis,C11.338.133
Blepharophimosis,C11.338.190
Blepharoptosis,C11.338.204
Blepharospasm,C11.338.250
Chalazion,C11.338.300
Ectropion,C11.338.362
Entropion,C11.338.443
Eyelid Neoplasms,C11.338.526
Hordeolum,C11.338.648
Trichiasis,C11.338.912
Lacrimal Apparatus Diseases,C11.496
Dacryocystitis,C11.496.221
Canaliculitis,C11.496.221.500
Dry Eye Syndromes,C11.496.260
Keratoconjunctivitis Sicca,C11.496.260.394
Sjogren's Syndrome,C11.496.260.719
Xerophthalmia,C11.496.260.892
Lacrimal Duct Obstruction,C11.496.456
Lens Diseases,C11.510
Aphakia,C11.510.103
"Aphakia, Postcataract",C11.510.103.110
Artificial Lens Implant Migration,C11.510.174
Cataract,C11.510.245
Capsule Opacification,C11.510.245.500
Lens Subluxation,C11.510.598
Ectopia Lentis,C11.510.598.373
Ocular Hypertension,C11.525
Glaucoma,C11.525.381
"Glaucoma, Angle-Closure",C11.525.381.056
"Glaucoma, Neovascular",C11.525.381.348
"Glaucoma, Open-Angle",C11.525.381.407
Hydrophthalmos,C11.525.381.407.480
Low Tension Glaucoma,C11.525.381.703
Ocular Hypotension,C11.540
Ocular Motility Disorders,C11.590
Duane Retraction Syndrome,C11.590.224
Miller Fisher Syndrome,C11.590.312
"Nystagmus, Pathologic",C11.590.400
"Nystagmus, Congenital",C11.590.400.300
Oculomotor Nerve Diseases,C11.590.436
Adie Syndrome,C11.590.436.200
Oculomotor Nerve Injuries,C11.590.436.600
Ophthalmoplegia,C11.590.472
"Ophthalmoplegia, Chronic Progressive External",C11.590.472.250
Kearns-Sayre Syndrome,C11.590.472.250.500
Ophthalmoplegic Migraine,C11.590.472.375
"Supranuclear Palsy, Progressive",C11.590.472.500
Opsoclonus-Myoclonus Syndrome,C11.590.725
Strabismus,C11.590.810
Esotropia,C11.590.810.400
Exotropia,C11.590.810.440
Tolosa-Hunt Syndrome,C11.590.905
Optic Nerve Diseases,C11.640
Low Tension Glaucoma,C11.640.225
Optic Atrophy,C11.640.451
"Optic Atrophies, Hereditary",C11.640.451.451
"Optic Atrophy, Autosomal Dominant",C11.640.451.451.100
"Optic Atrophy, Hereditary, Leber",C11.640.451.451.400
Wolfram Syndrome,C11.640.451.451.980
Optic Disk Drusen,C11.640.513
Optic Nerve Injuries,C11.640.530
Optic Nerve Neoplasms,C11.640.544
Optic Nerve Glioma,C11.640.544.500
Optic Neuritis,C11.640.576
Neuromyelitis Optica,C11.640.576.695
"Optic Neuropathy, Ischemic",C11.640.643
Papilledema,C11.640.710
Orbital Diseases,C11.675
Enophthalmos,C11.675.319
Exophthalmos,C11.675.349
Graves Disease,C11.675.349.500
Graves Ophthalmopathy,C11.675.349.500.500
Orbital Cellulitis,C11.675.387
Orbital Myositis,C11.675.426
Orbital Neoplasms,C11.675.659
Orbital Pseudotumor,C11.675.679
Pott Puffy Tumor,C11.675.689
Retrobulbar Hemorrhage,C11.675.700
Pupil Disorders,C11.710
Anisocoria,C11.710.090
Miosis,C11.710.528
Horner Syndrome,C11.710.528.500
Mydriasis,C11.710.570
Tonic Pupil,C11.710.800
Adie Syndrome,C11.710.800.180
Refractive Errors,C11.744
Aniseikonia,C11.744.116
Anisometropia,C11.744.126
Astigmatism,C11.744.212
Corneal Wavefront Aberration,C11.744.345
Hyperopia,C11.744.479
Myopia,C11.744.636
"Myopia, Degenerative",C11.744.636.500
Presbyopia,C11.744.786
Retinal Diseases,C11.768
Angioid Streaks,C11.768.094
Central Serous Chorioretinopathy,C11.768.175
Cone Dystrophy,C11.768.216
Diabetic Retinopathy,C11.768.257
Epiretinal Membrane,C11.768.328
Hypertensive Retinopathy,C11.768.346
Leber Congenital Amaurosis,C11.768.364
Retinal Artery Occlusion,C11.768.400
Susac Syndrome,C11.768.400.500
Retinal Degeneration,C11.768.585
Macular Degeneration,C11.768.585.439
Geographic Atrophy,C11.768.585.439.122
Macular Edema,C11.768.585.439.245
Vitelliform Macular Dystrophy,C11.768.585.439.433
Wet Macular Degeneration,C11.768.585.439.622
Retinal Drusen,C11.768.585.585
Retinal Dystrophies,C11.768.585.658
Cone-Rod Dystrophies,C11.768.585.658.250
Retinitis Pigmentosa,C11.768.585.658.500
Kearns-Sayre Syndrome,C11.768.585.658.500.627
Usher Syndromes,C11.768.585.658.500.813
Retinoschisis,C11.768.585.865
Retinal Detachment,C11.768.648
Retinal Dysplasia,C11.768.660
Retinal Hemorrhage,C11.768.710
Retinal Neoplasms,C11.768.717
Retinoblastoma,C11.768.717.760
Retinal Neovascularization,C11.768.725
Retinal Perforations,C11.768.740
Retinal Telangiectasis,C11.768.748
Retinal Vasculitis,C11.768.757
Retinal Vein Occlusion,C11.768.760
Retinitis,C11.768.773
Chorioretinitis,C11.768.773.348
Cytomegalovirus Retinitis,C11.768.773.360
"Retinal Necrosis Syndrome, Acute",C11.768.773.674
Retinopathy of Prematurity,C11.768.836
"Vitreoretinopathy, Proliferative",C11.768.890
Scleral Diseases,C11.790
Scleritis,C11.790.500
Uveal Diseases,C11.941
Choroid Diseases,C11.941.160
Choroid Hemorrhage,C11.941.160.177
Choroid Neoplasms,C11.941.160.238
Choroidal Neovascularization,C11.941.160.244
Choroideremia,C11.941.160.300
Choroiditis,C11.941.160.478
Chorioretinitis,C11.941.160.478.400
Pars Planitis,C11.941.160.478.700
Gyrate Atrophy,C11.941.160.578
Iris Diseases,C11.941.375
Aniridia,C11.941.375.060
WAGR Syndrome,C11.941.375.060.950
Exfoliation Syndrome,C11.941.375.285
Iridocorneal Endothelial Syndrome,C11.941.375.322
Iridocyclitis,C11.941.375.360
Iris Neoplasms,C11.941.375.375
Iritis,C11.941.375.385
Uveal Neoplasms,C11.941.855
Choroid Neoplasms,C11.941.855.198
Iris Neoplasms,C11.941.855.400
Uveitis,C11.941.879
Panuveitis,C11.941.879.780
"Ophthalmia, Sympathetic",C11.941.879.780.500
"Uveitis, Anterior",C11.941.879.780.880
Behcet Syndrome,C11.941.879.780.880.200
Iridocyclitis,C11.941.879.780.880.400
Iritis,C11.941.879.780.880.448
"Uveitis, Posterior",C11.941.879.780.900
Choroiditis,C11.941.879.780.900.300
Chorioretinitis,C11.941.879.780.900.300.318
Pars Planitis,C11.941.879.780.900.300.659
"Uveitis, Intermediate",C11.941.879.900
Pars Planitis,C11.941.879.900.500
"Uveitis, Suppurative",C11.941.879.960
Panophthalmitis,C11.941.879.960.580
Uveomeningoencephalitic Syndrome,C11.941.879.980
Vision Disorders,C11.966
Amblyopia,C11.966.073
Blindness,C11.966.075
Amaurosis Fugax,C11.966.075.125
"Blindness, Cortical",C11.966.075.250
Deaf-Blind Disorders,C11.966.075.375
Usher Syndromes,C11.966.075.375.500
Wolfram Syndrome,C11.966.075.375.750
Hemianopsia,C11.966.075.500
Color Vision Defects,C11.966.256
Diplopia,C11.966.339
Night Blindness,C11.966.671
Photophobia,C11.966.741
Scotoma,C11.966.811
Susac Syndrome,C11.966.858
"Vision, Low",C11.966.905
Vitreous Detachment,C11.980
Male Urogenital Diseases,C12
"Genital Diseases, Male",C12.294
Epididymitis,C12.294.199
Fournier Gangrene,C12.294.229
"Genital Neoplasms, Male",C12.294.260
Penile Neoplasms,C12.294.260.500
Prostatic Neoplasms,C12.294.260.750
"Prostatic Neoplasms, Castration-Resistant",C12.294.260.750.500
Testicular Neoplasms,C12.294.260.937
Sertoli-Leydig Cell Tumor,C12.294.260.937.500
Leydig Cell Tumor,C12.294.260.937.500.249
Sertoli Cell Tumor,C12.294.260.937.500.500
Hematocele,C12.294.287
Hemospermia,C12.294.293
Herpes Genitalis,C12.294.329
Infertility,C12.294.365
"Infertility, Male",C12.294.365.700
Aspermia,C12.294.365.700.126
Asthenozoospermia,C12.294.365.700.253
Azoospermia,C12.294.365.700.380
Oligospermia,C12.294.365.700.508
Sertoli Cell-Only Syndrome,C12.294.365.700.754
Teratozoospermia,C12.294.365.700.877
Penile Diseases,C12.294.494
Balanitis,C12.294.494.136
Balanitis Xerotica Obliterans,C12.294.494.136.500
Hypospadias,C12.294.494.400
Penile Induration,C12.294.494.508
Penile Neoplasms,C12.294.494.591
Phimosis,C12.294.494.684
Paraphimosis,C12.294.494.684.587
Priapism,C12.294.494.786
Prostatic Diseases,C12.294.565
Prostatic Hyperplasia,C12.294.565.500
Prostatic Neoplasms,C12.294.565.625
"Prostatic Neoplasms, Castration-Resistant",C12.294.565.625.500
Prostatitis,C12.294.565.750
Reproductive Tract Infections,C12.294.604
"Sexual Dysfunction, Physiological",C12.294.644
Dyspareunia,C12.294.644.242
Erectile Dysfunction,C12.294.644.486
"Impotence, Vasculogenic",C12.294.644.486.500
Premature Ejaculation,C12.294.644.743
Sexually Transmitted Diseases,C12.294.668
"Sexually Transmitted Diseases, Bacterial",C12.294.668.281
Chancroid,C12.294.668.281.201
Chlamydia Infections,C12.294.668.281.301
Lymphogranuloma Venereum,C12.294.668.281.301.490
Gonorrhea,C12.294.668.281.401
Granuloma Inguinale,C12.294.668.281.451
Syphilis,C12.294.668.281.859
Spermatic Cord Torsion,C12.294.693
Spermatocele,C12.294.731
Testicular Diseases,C12.294.829
Cryptorchidism,C12.294.829.258
Orchitis,C12.294.829.493
Testicular Hydrocele,C12.294.882
"Tuberculosis, Male Genital",C12.294.909
Varicocele,C12.294.936
Pelvic Floor Disorders,C12.483
"Tuberculosis, Urogenital",C12.672
"Tuberculosis, Male Genital",C12.672.721
"Tuberculosis, Renal",C12.672.847
Urogenital Abnormalities,C12.706
Bladder Exstrophy,C12.706.132
Cryptorchidism,C12.706.258
Disorders of Sex Development,C12.706.316
"46, XX Disorders of Sex Development",C12.706.316.064
"46, XX Testicular Disorders of Sex Development",C12.706.316.064.124
"Gonadal Dysgenesis, 46,XX",C12.706.316.064.249
Hyperandrogenism,C12.706.316.064.500
Adrenogenital Syndrome,C12.706.316.090
"Adrenal Hyperplasia, Congenital",C12.706.316.090.500
Hyperandrogenism,C12.706.316.090.750
"Disorder of Sex Development, 46,XY",C12.706.316.096
Androgen-Insensitivity Syndrome,C12.706.316.096.500
Denys-Drash Syndrome,C12.706.316.096.562
Frasier Syndrome,C12.706.316.096.624
"Gonadal Dysgenesis, 46,XY",C12.706.316.096.687
Gonadoblastoma,C12.706.316.096.687.500
Kallmann Syndrome,C12.706.316.096.750
WAGR Syndrome,C12.706.316.096.875
Gonadal Dysgenesis,C12.706.316.309
"Gonadal Dysgenesis, 46,XX",C12.706.316.309.193
"Gonadal Dysgenesis, 46,XY",C12.706.316.309.388
Gonadoblastoma,C12.706.316.309.388.500
"Gonadal Dysgenesis, Mixed",C12.706.316.309.391
Sexual Infantilism,C12.706.316.309.631
Turner Syndrome,C12.706.316.309.872
Ovotesticular Disorders of Sex Development,C12.706.316.343
Sex Chromosome Disorders of Sex Development,C12.706.316.795
Freemartinism,C12.706.316.795.124
"Gonadal Dysgenesis, Mixed",C12.706.316.795.249
Klinefelter Syndrome,C12.706.316.795.500
Turner Syndrome,C12.706.316.795.750
Epispadias,C12.706.374
Fraser Syndrome,C12.706.410
Fused Kidney,C12.706.445
Hypospadias,C12.706.516
Multicystic Dysplastic Kidney,C12.706.629
"Nephritis, Hereditary",C12.706.742
Retrocaval Ureter,C12.706.811
Solitary Kidney,C12.706.846
Urinary Fistula,C12.706.881
Urinary Bladder Fistula,C12.706.881.312
Urogenital Neoplasms,C12.758
"Genital Neoplasms, Male",C12.758.409
Penile Neoplasms,C12.758.409.500
Prostatic Neoplasms,C12.758.409.750
"Prostatic Neoplasms, Castration-Resistant",C12.758.409.750.500
Testicular Neoplasms,C12.758.409.937
Sertoli-Leydig Cell Tumor,C12.758.409.937.500
Leydig Cell Tumor,C12.758.409.937.500.249
Sertoli Cell Tumor,C12.758.409.937.500.500
Urologic Neoplasms,C12.758.820
Kidney Neoplasms,C12.758.820.750
"Carcinoma, Renal Cell",C12.758.820.750.160
"Nephroma, Mesoblastic",C12.758.820.750.372
Wilms Tumor,C12.758.820.750.585
Denys-Drash Syndrome,C12.758.820.750.585.220
WAGR Syndrome,C12.758.820.750.585.950
Ureteral Neoplasms,C12.758.820.875
Urethral Neoplasms,C12.758.820.937
Urinary Bladder Neoplasms,C12.758.820.968
Urologic Diseases,C12.777
Kidney Diseases,C12.777.419
AIDS-Associated Nephropathy,C12.777.419.050
Anuria,C12.777.419.078
Chronic Kidney Disease-Mineral and Bone Disorder,C12.777.419.080
Diabetes Insipidus,C12.777.419.135
"Diabetes Insipidus, Nephrogenic",C12.777.419.135.500
"Diabetes Insipidus, Neurogenic",C12.777.419.135.750
Wolfram Syndrome,C12.777.419.135.875
Diabetic Nephropathies,C12.777.419.192
Hepatorenal Syndrome,C12.777.419.291
Hydronephrosis,C12.777.419.307
Pyonephrosis,C12.777.419.307.500
Hyperoxaluria,C12.777.419.313
"Hyperoxaluria, Primary",C12.777.419.313.500
"Hypertension, Renal",C12.777.419.331
"Hypertension, Renovascular",C12.777.419.331.490
Kidney Cortex Necrosis,C12.777.419.393
"Kidney Diseases, Cystic",C12.777.419.403
Medullary Sponge Kidney,C12.777.419.403.500
Multicystic Dysplastic Kidney,C12.777.419.403.750
Polycystic Kidney Diseases,C12.777.419.403.875
"Polycystic Kidney, Autosomal Dominant",C12.777.419.403.875.500
"Polycystic Kidney, Autosomal Recessive",C12.777.419.403.875.510
Kidney Neoplasms,C12.777.419.473
"Carcinoma, Renal Cell",C12.777.419.473.160
"Nephroma, Mesoblastic",C12.777.419.473.372
Wilms Tumor,C12.777.419.473.585
Denys-Drash Syndrome,C12.777.419.473.585.220
WAGR Syndrome,C12.777.419.473.585.950
Kidney Papillary Necrosis,C12.777.419.493
Nephritis,C12.777.419.570
Glomerulonephritis,C12.777.419.570.363
Anti-Glomerular Basement Membrane Disease,C12.777.419.570.363.304
"Glomerulonephritis, IGA",C12.777.419.570.363.608
"Glomerulonephritis, Membranoproliferative",C12.777.419.570.363.615
"Glomerulonephritis, Membranous",C12.777.419.570.363.625
"Glomerulosclerosis, Focal Segmental",C12.777.419.570.363.660
Lupus Nephritis,C12.777.419.570.363.680
"Nephritis, Hereditary",C12.777.419.570.620
"Nephritis, Interstitial",C12.777.419.570.643
Balkan Nephropathy,C12.777.419.570.643.150
Pyelonephritis,C12.777.419.570.643.790
"Pyelonephritis, Xanthogranulomatous",C12.777.419.570.643.790.810
Pyelitis,C12.777.419.570.821
Pyelocystitis,C12.777.419.570.821.358
Pyelonephritis,C12.777.419.570.821.717
"Pyelonephritis, Xanthogranulomatous",C12.777.419.570.821.717.810
Nephrocalcinosis,C12.777.419.590
Nephrolithiasis,C12.777.419.600
Kidney Calculi,C12.777.419.600.500
Staghorn Calculi,C12.777.419.600.500.500
Nephrosclerosis,C12.777.419.610
Nephrosis,C12.777.419.630
"Nephrosis, Lipoid",C12.777.419.630.477
Nephrotic Syndrome,C12.777.419.630.643
Perinephritis,C12.777.419.685
Renal Artery Obstruction,C12.777.419.775
Renal Insufficiency,C12.777.419.780
Acute Kidney Injury,C12.777.419.780.050
"Kidney Tubular Necrosis, Acute",C12.777.419.780.050.500
Cardio-Renal Syndrome,C12.777.419.780.400
"Renal Insufficiency, Chronic",C12.777.419.780.750
"Kidney Failure, Chronic",C12.777.419.780.750.500
Frasier Syndrome,C12.777.419.780.750.500.500
Renal Nutcracker Syndrome,C12.777.419.787
"Renal Tubular Transport, Inborn Errors",C12.777.419.815
"Acidosis, Renal Tubular",C12.777.419.815.093
Bartter Syndrome,C12.777.419.815.279
Dent Disease,C12.777.419.815.364
Fanconi Syndrome,C12.777.419.815.450
Gitelman Syndrome,C12.777.419.815.491
"Glycosuria, Renal",C12.777.419.815.532
"Hypophosphatemia, Familial",C12.777.419.815.647
Familial Hypophosphatemic Rickets,C12.777.419.815.647.500
Liddle Syndrome,C12.777.419.815.683
Oculocerebrorenal Syndrome,C12.777.419.815.720
Pseudohypoaldosteronism,C12.777.419.815.770
Renal Aminoacidurias,C12.777.419.815.885
Cystinuria,C12.777.419.815.885.250
Hartnup Disease,C12.777.419.815.885.457
"Tuberculosis, Renal",C12.777.419.912
Uremia,C12.777.419.936
Azotemia,C12.777.419.936.231
Hemolytic-Uremic Syndrome,C12.777.419.936.463
Atypical Hemolytic Uremic Syndrome,C12.777.419.936.463.500
Zellweger Syndrome,C12.777.419.978
Ureteral Diseases,C12.777.725
Ureteral Neoplasms,C12.777.725.676
Ureteral Obstruction,C12.777.725.776
Ureterocele,C12.777.725.876
Ureterolithiasis,C12.777.725.938
Ureteral Calculi,C12.777.725.938.500
Urethral Diseases,C12.777.767
Epispadias,C12.777.767.374
Urethral Neoplasms,C12.777.767.601
Urethral Obstruction,C12.777.767.700
Urethral Stricture,C12.777.767.700.700
Urinary Bladder Neck Obstruction,C12.777.767.700.962
Urethritis,C12.777.767.851
Urinary Bladder Diseases,C12.777.829
Bladder Exstrophy,C12.777.829.132
Cystitis,C12.777.829.495
"Cystitis, Interstitial",C12.777.829.495.500
Pyelocystitis,C12.777.829.495.750
Cystocele,C12.777.829.707
Urinary Bladder Calculi,C12.777.829.720
Urinary Bladder Fistula,C12.777.829.733
Urinary Bladder Neck Obstruction,C12.777.829.760
Urinary Bladder Neoplasms,C12.777.829.813
"Urinary Bladder, Neurogenic",C12.777.829.839
"Urinary Bladder, Overactive",C12.777.829.866
"Urinary Bladder, Underactive",C12.777.829.893
Vesico-Ureteral Reflux,C12.777.829.920
Urinary Tract Infections,C12.777.892
Bacteriuria,C12.777.892.219
Pyuria,C12.777.892.719
